Data,África do Sul - PIB - paridade do poder de compra (PPC) - US$ - Banco Mundial- World Development Indicators (WDI) - WDI_PIBPPCZAF,
1980,115370513959.872,
1981,132947816202.46,
1982,140507322352.41,
1983,143367966394.839,
1984,156337431583.651,
1985,159160134620.641,
1986,162747851861.406,
1987,171035396072.596,
1988,184425190880.734,
1989,195950691835.898,
1990,235843556571.396,
1991,241274566563.15,
1992,241500070177.763,
1993,250283589554.12,
1994,263842398829.774,
1995,277731210237.496,
1996,294979241582.673,
1997,307918201625.603,
1998,312905585260.478,
1999,325113408534.299,
2000,346333524537.585,
2001,363700708167.316,
2002,382976834012.551,
2003,401862707604.628,
2004,431598262722.428,
2005,468760741069.592,
2006,510123423545.839,
2007,551839299423.347,
2008,580572218668.108,
2009,575992048615.116,
2010,600583054909.966,
2011,633189499566.752,
2012,648172754274.449,
2013,677533542577.96,
2014,697397928866.321,
2015,695228516963.075,
2016,707743775110.312,
2017,724100740041.47,
2018,747577752588.042,
2019,763258133431.533,
